,LiveUrl,Uid,Url,Certification,LearningPathUrl,Title,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels
0,https://docs.microsoft.com/en-us/learn/modules/top-5-security-items-to-consider/,learn.top-5-security-items-to-consider,/learn/modules/top-5-security-items-to-consider/,az-500,https://docs.microsoft.com/en-us/learn/paths/secure-your-cloud-apps/,Top 5 security items to consider before pushing to production,7,"3,715","25,121",67.33%,"2,948","1,985","2,160",26.0,1239.855556,20.02458502,45,4.7352941180000006,136,,,azure;azure-key-vault,developer;administrator;security-engineer,intermediate
1,https://docs.microsoft.com/en-us/learn/modules/secure-aspnet-core-identity/,learn.secure-aspnet-core-identity,/learn/modules/secure-aspnet-core-identity/,az-500,https://docs.microsoft.com/en-us/learn/paths/secure-your-cloud-apps/,Secure an ASP.NET Core web app with the Identity framework,8,"2,551","14,280",38.18%,"1,663",635,713,6.0,581.5941667000001,13.67920423,68,4.7380952380000005,42,721,582,dotnet;aspnet-core;dotnet-core;ef-core;azure,developer;security-engineer,intermediate
2,https://docs.microsoft.com/en-us/learn/modules/manage-secrets-with-azure-key-vault/,learn.manage-secrets-with-azure-key-vault,/learn/modules/manage-secrets-with-azure-key-vault/,az-500,https://docs.microsoft.com/en-us/learn/paths/secure-your-cloud-apps/,Manage secrets in your server apps with Azure Key Vault,7,"3,827","37,526",23.57%,"2,741",646,725,3.0,1107.002222,17.35566588,46,4.935483871000001,31,"2,296","1,480",azure;azure-key-vault;azure-app-service,developer;solution-architect,beginner
3,https://docs.microsoft.com/en-us/learn/modules/control-authentication-with-apim/,learn.control-authentication-with-apim,/learn/modules/control-authentication-with-apim/,az-500,https://docs.microsoft.com/en-us/learn/paths/secure-your-cloud-apps/,Control authentication for your APIs with Azure API Management,7,"3,171","22,639",60.28%,"2,402","1,448","1,559",6.0,998.9855556,18.90228109,55,4.728395062,81,835,755,azure;azure-api-management,solution-architect;developer;security-engineer,intermediate
4,https://docs.microsoft.com/en-us/learn/modules/azure-well-architected-security/,learn.azure-well-architected-security,/learn/modules/azure-well-architected-security/,az-500,https://docs.microsoft.com/en-us/learn/paths/secure-your-cloud-apps/,Microsoft Azure Well-Architected Framework - Security,8,"8,284","58,356",36.82%,"7,486","2,756","2,925",71.0,4452.997778,32.25251891,62,4.818181818,297,,,azure;azure-active-directory,solution-architect;security-engineer,intermediate
5,https://docs.microsoft.com/en-us/learn/modules/azure-well-architected-security/,learn.azure-well-architected-security,/learn/modules/azure-well-architected-security/,az-500,https://docs.microsoft.com/en-us/learn/paths/implement-host-security/,Microsoft Azure Well-Architected Framework - Security,8,"8,284","58,356",36.82%,"7,486","2,756","2,925",71.0,4452.997778,32.25251891,62,4.818181818,297,,,azure;azure-active-directory,solution-architect;security-engineer,intermediate
6,https://docs.microsoft.com/en-us/learn/modules/create-security-baselines/,learn.azure-security.create-security-baselines,/learn/modules/create-security-baselines/,az-500,https://docs.microsoft.com/en-us/learn/paths/secure-your-cloud-apps/,Create security baselines,11,"3,334","30,426",65.14%,"2,854","1,859","2,033",16.0,1248.417778,22.46702659,60,4.817518248,137,,,azure,developer;solution-architect;security-engineer,beginner
7,https://docs.microsoft.com/en-us/learn/modules/create-security-baselines/,learn.azure-security.create-security-baselines,/learn/modules/create-security-baselines/,az-500,https://docs.microsoft.com/en-us/learn/paths/manage-security-operations/,Create security baselines,11,"3,334","30,426",65.14%,"2,854","1,859","2,033",16.0,1248.417778,22.46702659,60,4.817518248,137,,,azure,developer;solution-architect;security-engineer,beginner
8,https://docs.microsoft.com/en-us/learn/modules/create-security-baselines/,learn.azure-security.create-security-baselines,/learn/modules/create-security-baselines/,az-500,https://docs.microsoft.com/en-us/learn/paths/implement-host-security/,Create security baselines,11,"3,334","30,426",65.14%,"2,854","1,859","2,033",16.0,1248.417778,22.46702659,60,4.817518248,137,,,azure,developer;solution-architect;security-engineer,beginner
9,https://docs.microsoft.com/en-us/learn/modules/incident-response-with-alerting-on-azure/,learn.incident-response-with-alerting-on-azure,/learn/modules/incident-response-with-alerting-on-azure/,az-500,https://docs.microsoft.com/en-us/learn/paths/manage-security-operations/,Improve incident response with alerting on Azure,9,"4,241","40,032",74.14%,"3,681","2,729","3,081",15.0,1413.286944,19.99462784,53,4.825,160,"1,275","1,101",azure;azure-monitor,solution-architect;security-engineer;administrator,beginner
